score,filtered_nouns_str,label
4,서랍 플러스 이용자 폰 해당 기간 기간 서랍 사이 기간 가요 모든,1
2,상대방 상단 바랑 통화 거절 버튼 안눌립니 통화 상대방 통화 대기 상단 바 그대로 통화 거절 눌 리지 방법 폰 재부팅,0
4,매우 편리 문자 수 쇼핑 이모티콘 여러가지 카테고리 수 그룹채팅 수 이모티콘 수 단점 먼저 가장 단점 삭제 삭제 불편 삭제 이모티콘 문자 핸드폰 문자 특정 카테고리 삭제 채팅봇 질문 답변 답변 최대 글자 수가 메시지 수 수,1
4,전화 문자 무료 수 건 시스템 가지 단점 휴대폰 상황 깜빡 가끔,1
3,최근 후 강제 종료 전화 상대 검은색 전화 창 채 부재 인터넷 후 여러가지 시도,0
1,칸 정신 업무 곳 이동 게 관심 남 취미 방 굳이 요 옆 아래 밀고 해도 정보 수 칸,0
3,모로 읍니 버그 상대방 통화 처음 목소리 나중 중간 상대방 목소리 안 자동 버그 상대방 통화 문제 수 읍니,0
1,메시지 수신 장시간 지연 보통 분 지연 약 분 지연 기도 상대방 발신 한지 무려 분 지난 뒤 난 주로 요 최근 달 사이 버그 인지 안드로이드 운영체제 자체 한계 알 수가 안드로이드 운영체제 상의 배터리 제한 모드 라운드 데이터 항상 허용 상태 장기간 권한 삭제 필수 권한 항상 허용 상태 외 자주 권한 항상 허용 수신 지연 문제 해결 전혀 식이 실시간 송수 신 일반 문자 메시지 말 굳이,0
3,여태 불만 최근 추천 메뉴 옵션 비활 활성화 갱신 최신 나중 뭘 지사 제공 메뉴 라면,0
4,이미지 순서 순서대로 문서 필터 링 순서대로 주로 작업 관리 차단 버튼 단체 문자 일일이 자주 단체 문자 회원 그루 핑해 버튼 명 개톡 개발자 업뎃좀,1
1,서랍 카카오스토리 광고 본인 채널 서브 계정 본인 이름 전호 해킹 범 네이버 계정 이름 바 이름 본인 이름 월일 가입 전번 이름 근처 권한 필수 권한 와이파이 용한 무제한 와이파이 말 블루투스 용한 본인 광고 문제,0
5,연락 수단 연락 수단 인간관계 사용자 로서 한가지 점 일괄 삭제 차단 일괄 삭제 연락처 백 번 일괄 삭제 수,1
3,상대방 상대방 목소리 거려 예전 번 전화 번 정도 상대방 목소리 이건 폰 가끔 글 말풍선 삭제 분명 선택 삭제 번 삭제 반복 안 버그 버그,0
5,방 보관 감사 방도 보관 요 옵챗때매 보관 요청 용 옵챗 보관 방 보관 신경 방 신경 수가 클릭 수 위해 방 보관 함 정리 위해 방 정렬 기준 최신 순 순 즐겨찾기 순 방 정렬 자체 사용자 스스로 수동 위치 이동 수 커스터 마이 징 수 그게 방 하단 고정,1
1,화질 원본 전송 적용 안 화질 일부 태블릿 제대로 폰 일부러 삭제 일부 안 어쩌자 메신저 기본 선물 용 선물 법 기한 연장 용 선물 안 끌 수도 선물,0
